Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Kissan pro,Undisclosed,0,Jharkhand,"Full stack solution on agri advisory, input purchase and market linkage",Farming,2021,2021,Ekki
Sunstone eduversity,Series B,28000000,Gurugram,Sunstone eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,Edtech,2021,2011,Westbridge capital
Ozonetel,Series A,5000000,Hyderabad,Ozonetel is leading cloud telephony solution provider.,Telecommunications,2021,2007,Stakeboat capital
Coinswitch kuber,Series C,260000000,Bangalore,"Coinswitch kuber is the largest crypto trading platform in india with a user base of 10m+, in just 15 months and growing every second.",Crypto,2021,2017,Coinbase ventures
Pazcare,Seed,3500000,Bangalore,Paz care is india's leading employee benefits & health insurance platform,Insurance,2021,2020,Beenext
Kwh bikes,Seed,2000000,Bangalore,Building india’s strongest and smartest electric 2 wheelers,Automotive,2021,2020,Let’s venture
Ibsfintech,Series B,1000000,Bangalore,"Driving digitization & automation of cash & liquidity, risk, treasury & trade finance functions of the corporate.",Information technology & services,2021,2006,
Leadsquared,Undisclosed,0,Bangalore,"Leadsquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",Computer software,2021,2011,International finance corporation
Phool.co,Undisclosed,0,Kanpur,Flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,Renewables & environment,2021,2017,Alia bhatt
Twin health,Series C,140000000,Chennai,Twin health invented the whole body digital twin™ to help reverse and prevent chronic metabolic diseases.,Healthcare,2021,2018,Sequoia capital india
Trica,Seed,3000000,Mumbai,Powering private markets - a technology platform for startups and investors.,Equity management,2021,2021,Letsventure
Mhealth,Seed,0,New delhi,Mhealth  is ai based corporate wellness platform  to spread happiness & well-being,Healthcare,2021,2020,India accelerator
Rebel foods,Series D,175000000,Mumbai,"World’s largest internet restaurant company. building unique, memorable, delightful & sure delivery-only restaurants.",Cloud kitchen,2021,2011,Qatar investment authority
Profitwheel,Seed,3000000,Mumbai,Profitwheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,Marketing & advertising,2021,2020,Netcore cloud
Log 9 materials,Undisclosed,2000000,Bangalore,Log9 materials is on a mission to make global energy 100% clean.,Technology,2021,2014,Petronas ventures
Chingari,Undisclosed,19000000,Bangalore,"Chingari - bharat ka super entertainment app. a unique and fun short video app, can create interesting videos and share them with the world.",Entertainment,2021,2018,Solana
Ishitva,Series B,1000000,Ahmedabad,"Sort to create value’ using #ai, #robotics and #airsorter to achieve a #circulareconomy with environmental benefits.",Computer software,2021,2018,Inflection point ventures
Ola electric,Undisclosed,200000000,Bangalore,Sustainability for the future.,Automotive,2021,2017,Falcon edge
Leap.club,Series B,810000,Gurugram,A community-led professional network for women,Community,2021,2014,Enzia ventures
F5,Series B,600000,New delhi,One-stop solution for daily workplace needs,Retail,2021,2018,Auxano capital
Foreignadmits,Seed,400000,Bangalore,“foreignadmits” aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,Education,2021,2018,Unicorn india ventures
Salt,Seed,500000,Bangalore,Salt is a neo-banking experience created to cater to international businesses.,Financial services,2021,2019,Prashant pansare
Earnwealth,Series B,500000,Pune,"Earnwealth is india's first social commerce fintech which enables financial consultants, mutual fund distributors, insurance agents, real estate consultants, housewives, retired people and students to earn quick money by selling loans, credit cards",Financial services,2021,2014,
Visit health,Undisclosed,7500000,New delhi,"Visit is a 360° integrated, highly engaging health benefits platform- covering end to end health & wellness management.",Healthcare,2021,2015,Docprime technologies
